002GABRIEL FRANKLIN              ADS
004ADA WONG                      MATEMATICA
006MONKEY D. LUFFY               ADS
008RORONOA ZORO                  FISICA
010VINSMOKE SANJI                MATEMATICA
012NICO ROBIN                    ADS
014MAKA ALBARN                   ADS
016BLACK STAR                    ECONOMIA
018TSUBAKI NAKATSUKASA           ADS
020SID BARRETT                   FISICA
022SON GOKU                      ADS
024ALLEN WALKER                  MATEMATICA
026MIRANDA LOTTO                 ADS
028KANDA YU                      ADS
030SAWADA TSUNAYOSHI             ADS
