001WILLIAN MASSANOBU KOHATSU     ADS
003HIBARI KYOYA                  MATEMATICA
005GOKUDERA HAYATO               FISICA
007YAMATO TAKESHI                ADS
009SASAGAWA RYOHEI               ECONOMIA
011TATSUMI OGA                   ADS
013FURUICHI TAKAYUKI             ADS
015AIZEN SOUSUKE                 FISICA
017URAHARA KISUKE                ADS
019YURUICHI SHIHOUIN             ADS
021YAMAMOTO GENRYUSAI            FISICA
023ICHIMARU GIN                  MATEMATICA
025ZARAKI KENPACHI               FISICA
027LAXUS DREYAR                  ADS
029JUVIA LOCKSER                 ADS
